Name,Affiliation,Occupation / Position Title,City,Country,State
"Marshall, Stephen",Cambridge Psychology Group/McLean Hospital/Harvard Medical School,Clinical Psychologist,Arlington,United States,Massachusetts
"Meints, Samantha","Brigham and Women's Hospital, Harvard Medical School","Pain Psychologist, Assistant Professor",Chestnut Hill,United States,Massachusetts
"Micco, Jamie","The Concord Center, LLC",Clinical Psychologist,Concord,United States,Massachusetts
"Miller, Paul","LifeStance Health, Inc.",Psychologist,Arlington,United States,Massachusetts
"Moore, Phoebe",UMASS Medical School,Associate Professor,Worcester,United States,Massachusetts
"Moses, Zachary",Towards What Matters,Behavioral Clinician,Arlington,United States,Massachusetts
"Norton, Daniel",Gordon College,Assistant Professor of Psychology,Wenham MA,United States,Massachusetts
"Palm Reed, Kathleen",Clark University,Associate Professor,Worcester,United States,Massachusetts
"Power, Stephanie",Empowered Behavioral Health,Clinical Psychologist,Lexington,United States,Massachusetts
"Robinson, Kate",Community Counseling of Bristol County,Supervisor and Therapist,Taunton,United States,Massachusetts
"Sagon, Alison",Boston Child Study Center,Associate Director of Acceptance & Commitment Therapy (ACT) Program,Boston,United States,Massachusetts
"Schwartz, Levin","State of Massachusetts, Franklin County Office of the Sheriff",Assistant Superintendent: Clinical & Reentry Services,Greenfield,United States,Massachusetts
"Seeman, David",Lesley University,retired/ Adjunct Faculty,Cambridge,United States,Massachusetts
"Shesto, Ari","Ari Shesto, PhD",Psychologist,Newton,United States,Massachusetts
"Smith, Amasa",Smith Psychotherapy LLC,Psychotherapist,Brookline,United States,Massachusetts
"Steinke, Steven",Harvard University,Private Practice,Cambridge,United States,Massachusetts
"Stoddard, Jill",The Center for Stress & Anxiety Management,Founder/Director,Newburyport,United States,Massachusetts
"Swee, Michaela",McLean Hospital / Harvard Medical School,Clinical Psychologist,Belmont,United States,Massachusetts
"Vinter, Caitlin",Caitlin Vinter Therapy,Psychotherapist,Newton,United States,Massachusetts
"Weinberg, Jacob",Private Practice,Psychotherapist,Newton,United States,Massachusetts
"Weiss, L.I.C.S.W., C.A.S., Robert",None at present,"Robert L Weiss, LICSW, CAS",MA,United States,Massachusetts
"Wilder, Chip",Retired from practice at this time,Clinical Social Worker,Needham,United States,Massachusetts
"Wozniak, Jana",Cambridge Health Alliance,Staff Psychologist,Revere,United States,Massachusetts
"Wright, Stephen",Essential Insights Counseling Center,Staff clinician,Hudson,United States,Massachusetts
"Yusufov, Miryam",Dana-Farber Cancer Institute,Psychologist,Boston,United States,Massachusetts
"Zaporteza Zipser, Johanne",New England Center for OCD and Anxiety,Staff Behavior Analyst,Melrose,United States,Massachusetts
